comparative	score	content	engagement
0.133	2	Bottlerock was a blast thanks to the fantastically tuned and teched Adamson PA provided by	0
0.167	3	The Queen must be pleased. Her Majesty's realm in these islands has developed two new principalities. The industry-standard…	2
0.455	5	 🥁  One hand, two drum sticks — Inspiring 📷        https:/…	53
0.043	1	Join us for a walkthrough of all the new features in Media Composer 2021.9, including Avid’s “Over the Shoulder” SRT demo with	3
0.143	2	, now a  of the  group, has announced that it has secured an  from Alignvest…	0
0.167	3	The Queen must be pleased. Her Majesty's realm in these islands has developed two new principalities. The industry-…	7
0.600	3	 🎧  Massive Attack Mashup 📷 	9
0.750	3	Love your work Matt!	0
0.182	2	 🔊  EQ Frequency Cheat Sheet 📷  Independent Recording Network  ▶ ️	12
0.091	2	Want that big studio sound in your own space? Watch rock band Londonderry Underground record a banger with Pro Tools | Carbon…	3
-0.048	-1	On this week's episode of The Rough Cut, editors Elísabet Ronaldsdottír ACE, Nat Sanders ACE and Harry Yoon ACE talk about…	6
0.250	2	 🎬  Free Guy — The complete timeline! 📸 	3
0.071	1	How will your  Atmos mix sound to your listeners on headphones?  explains. ▶ ️	6
2.500	5	 🐶  Happy	2
0.125	2	Get Spread by  ultimate stereo imaging tool—now FREE for Pro Tools Inner Circle members ▶ ️	2
0.600	3	 😺  No strings attached! 📷 	15
0.714	5	 😍  Unboxing Pro Tools | Carbon 📷 	1
0.167	1	 🏎 ️ Cutting Formula 1 📷 	5
0.222	2	 🎚 ️ Molinare’s all-new Dolby Atmos sound stage 📷 	5
0.278	5	Video game composer and sound designer  shares his excitement about the new Sibelius for mobile app ▶ ️	3
0.500	3	 🎼  Let's face the music... 📷 	1
0.286	2	 ⚡  From tin foil to thunder 📷 	26
0.143	1	so A . &amp; a steady pace please .  .	2
0.143	1	so A . &amp; a steady pace please .  .	4
1.000	3	Happy Labor Day!!!	0
0.357	5	Setting my the Groups to run my static pass before automation mania!!  Lol  🎧 	2
0.190	4	. in Buenos Aires features a Dolby Atmos-approved system, built around Pro Tools, two Avid S1’s, and an Avid Dock to mix…	1
0.050	1	nothing is simple with you guys and your website is straight up not working and is really screwing me over	0
-0.083	-2	hi, I'm having problems with pro tools hd, I buyed the license with PayPal and I didn't have the id or nothing in m…	0
0.273	3	This is the best thing I'm going to see today  🤘 	0
0.083	2	Want to add texture and interest to hip-hop vocals? Check out this trick for using a reverse reverb and Filter Gate in Pro Tools…	4
0.087	2	hey avid I just resubscribed to the protools plan you guys have &amp; it won’t let me log into my ilok account fr…	0
0.385	5	please give me Avid Pro Tools for free im poor. luv u 💞 	0
0.071	1	Hi, please send us your iLok ID so we can check on this ASAP.	0
0.250	2	 🏅  That's a wrap for the Paralympics 📷 	1
0.143	3	Customers want a system to help organize, catalogue, orchestrate and manage media on cloud and ground. It’s a MAM but not…	1
-0.050	-1	On this week's episode of The Rough Cut, editors Elísabet Ronaldsdottír ACE, Nat Sanders ACE and Harry Yoon ACE ta…	37
-0.667	-2	So Fire  🔥 	0
