comparative	score	content	engagement
0.143	1	Retweet if you want  listed on  and	191
1.500	9	hope I win love your videos!	0
0.308	4	Who needs gold and silver when you can have Bitcoin and ETH.... 😎 	0
0.500	3	I love this what's happening first?	70
0.400	2	Would still like a response	0
0.167	2	I was able to recover my locked account with the help of	0
-0.111	-1	lol i dont give a fuck with shitcoins  😹 	0
0.167	1	Retweet if you want   listed on	1
1.000	5	The  standard is near 💯 	0
1.000	4	Let's win this thing!!!	0
0.167	2	I recommend you only use Coinbase Pro as fees are significantly lower.	0
0.375	3	Intellectually we, the future is under control      🚀 	63
0.429	6	Out here with  at   🇺  🇸  Peep our IG to join the party!   👀 	93
0.750	3	i promise to help	0
0.235	4	I like to think of ftt as 1/3 effective equity. Ftx buys and burns 1/3…	0
0.600	3	the future! I love crypto!	0
1.429	10	MY FAVORITE PROJECT  ♥ ️ 💙  🌌 	3
2.000	4	That's awesome	0
0.286	2	Thought they only like memecoins. We’ll see.	0
-1.000	-3	bad job, guys	0
-0.176	-3	can we still store  on  ?  Or if we send any, it can be lost ? Or will safely…	0
0.500	5	loves suprises bro. They like it when nobody expect it.	0
0.222	2	1/22000 chance. I have won with worst odds.	0
0.304	7	Did you know we have an opportunity to join a Top 5 Global Exchange? We are currently raising funds through our donation w…	84
0.571	4	        💥        💥💥💥Day 84💥💥💥💥  ✅  Want  Listing! 👊 	31
-0.059	-1	Why doesn't  have limit orders? I don't want to use Pro just to get a basic feature.	0
1.500	6	good luck to all	0
0.333	4	uuuf, that would be a great investment, +gonna buy my dream car.	0
0.143	2	I was able to recover about 80% of my funds through the help of…	0
0.100	2	A little more about those rules …One important requirement is that you keep your Twitter profile public and continue follow…	188
-0.045	-1	It is disappointing to great grass roots people from all over America that  refuses to list one of, if not the mos…	71
0.250	3	Great interview by  co-founder  on  American education really teaches structured thinking.…	4
0.375	3	Gotta atleast try if I want a chance!	0
0.167	1	They begging  😂  but  won’t listen	0
0.063	1	any chance of yous 2 listing  so we don't have to pay fcuking £100 gas fe…	0
0.625	5	loved the last vid. LETS GOOOO  🇬  🇧 	0
0.333	1	add dgb please	0
0.083	1	Dm  ASAP he help me solved my problem when I have similar…	0
0.222	2	Tweeting at  till they list   🤝 Day 53    🙏 	19
1.500	9	I hope I win this  😍 .	0
-0.333	-2	It is crazy that  doesn't have	60
