comparative	score	content	engagement
0.050	1	Anything is possible behind the wheel of the Bronco.From off-road trails to vast rivers, the untamed spirit of the	221
0.176	3	You must of not watch the video, if the was glued to ground you be right lol.	0
0.100	2	On the canyons and the yeet myself from them. Hope we can do that and there's no invisible walls?  😂 	0
0.500	1	Yes and?	0
-0.353	-6	so I imagine we are stuck again with those fucking cross-country races on the ranked playlist e…	0
-0.130	-3	So what I've learned about Tesla cars in the last two days is they're poorly assembled, you have to pay thousands extra f…	7
-0.500	-3	Evil Way.  🤘  🔥 Available on	3
-0.429	-3	Please tell me this is Phishing/Fraud	1
0.083	1	Driving the  GT on Highway 1 is the stuff of dreams, by	18
0.100	1	Interesting! No issues or concerns about the HV battery pack?	0
0.778	7	It almost looks like a Ferrari! Not Bad! 👍 	0
-0.063	-1	The chief engineer of the all-electric  F-150 Lightning cannot and should not be underestimated.https:…	3
0.091	1	Never can be a free market so long as govt.…	0
0.381	8	Had to say good bye to my Ford Ikon with a heavy heart, However it’s a pleasure to welcome home my…	6
-0.071	-1	The chief engineer of the all-electric  F-150 Lightning cannot and should not be underestimated.	7
0.067	1	Certain News agencies,blog are speculating and writting about "Ford to shutdown operation in India…	0
0.313	5	Dear  PLEASE MAKE THESE IN RHD AND SEND THEM TO AUSTRALIA!!!  a little help with this?!	0
-0.333	-2	Extreme poorest service by MR. Nithi…	0
1.111	10	Yes!!!   So cute! Truly adorable. Love that. So smart!	1
0.111	1	That’s a big conclusion based on that data set.	0
0.118	2	The top 10 automakers worldwide have all confirmed their attendance at the fourth  with their latest produc…	9
0.500	4	Ah yes, the good old thunderfowl or thunderchicken	1
0.231	3	Im deff planning on getting mine 1 of these xrp moon days  🚀 	0
0.100	2	Canary yellow with black top &amp; black interior. Then a burgundy I/O. And a baby blue with dark b…	0
0.286	4	The   drainable frunk and keypad entry are the seaside weekend warrior’s new best friend.	3
0.182	2	If we’re going to Mexico there better be  Mexican drug dealers	0
0.067	1	My desire for news and delivery of the Lighting is beyond unreasonable at this moment.	0
